date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2009-12-31 23:00:00+00:00,73.0,5.0315,-0.86850005,1.6960834,2.6834912,-4.24662,-1.2051369,0,0,30763.727,11330.931,6.5,3.5,2.1000001,9.0,16.676977,37.079998,289.10123,2.92,0.35177925
2010-01-01 23:00:00+00:00,73.0,-0.06850001,-4.8185,-2.7247503,-4.672822,-9.01154,-7.300795,0,0,30821.557,25258.129,1.3000001,0.0,1.19,8.0,16.203999,36.0,271.93326,4.71,0.48364902
2010-01-02 23:00:00+00:00,2.0,0.3815,-3.1685,-2.0476663,-3.2784858,-6.8175592,-5.6895137,0,0,30884.078,25508.932,0.0,0.0,0.0,0.0,5.8603754,17.28,248.02542,5.84,0.5032276
2010-01-03 23:00:00+00:00,2.0,-1.0185001,-5.9685,-3.9351664,-4.822253,-10.220215,-7.826278,0,0,30951.227,24754.8,0.0,0.0,0.0,0.0,7.928177,16.199999,33.951126,4.11,0.3806273
2010-01-04 23:00:00+00:00,71.0,-1.2685001,-6.3185,-4.231,-4.9532084,-10.783497,-8.3168335,0,0,31022.932,16610.1,0.0,0.0,0.14,0.0,9.449572,20.880001,41.196384,3.52,0.31990883
2010-01-05 23:00:00+00:00,73.0,-0.46850002,-3.1685,-2.164333,-4.1994476,-6.7231684,-5.5236473,0,0,31099.256,9537.929,0.70000005,0.0,0.77,5.0,7.2359104,22.68,305.8377,3.28,0.3132152
2010-01-06 23:00:00+00:00,3.0,0.8815,-2.9185,-1.3601667,-2.2792387,-6.4165125,-4.5882487,0,0,31181.057,25323.48,0.0,0.0,0.0,0.0,6.297428,15.119999,19.304537,5.5,0.44052052
2010-01-07 23:00:00+00:00,73.0,-1.5185001,-4.1685,-2.77475,-6.993555,-8.542109,-7.706651,0,0,31268.326,883.7672,3.5,0.0,2.7300003,15.0,21.599998,47.88,44.61891,2.4,0.35424176
2010-01-08 23:00:00+00:00,73.0,-3.2185,-4.7685,-3.9268334,-7.6995144,-9.4928,-8.540373,0,0,31360.834,0.0,2.0,0.0,1.5400001,9.0,13.755579,32.399998,41.575092,1.94,0.33668336
2010-01-09 23:00:00+00:00,71.0,-2.1685,-6.2185,-3.9643328,-6.108296,-10.154945,-7.646318,0,0,31458.37,25200.0,0.3,0.0,0.35,2.0,8.891344,15.4800005,284.3646,4.81,0.3646265
2010-01-10 23:00:00+00:00,71.0,-0.6685,-4.2185,-2.7789166,-4.1968384,-7.74131,-6.2258663,0,0,31560.72,22961.91,1.0,0.0,0.77,6.0,5.495161,12.599999,319.5438,4.77,0.39932072
2010-01-11 23:00:00+00:00,71.0,0.13149999,-4.3684998,-2.7393332,-3.6742353,-8.332214,-6.3530927,0,0,31667.666,26402.09,0.0,0.0,0.14,0.0,8.942214,20.880001,23.152023,6.04,0.4294937
2010-01-12 23:00:00+00:00,73.0,2.1815,-3.2684999,-0.44766662,-0.76011634,-7.071998,-3.5180743,0,0,31778.998,0.0,1.5,0.2,1.4,7.0,6.0347,20.519999,185.31425,2.81,0.32247126
2010-01-13 23:00:00+00:00,3.0,3.4315,-2.8685,-0.4289166,-0.48638964,-6.78729,-3.9775095,0,0,31894.494,26977.807,0.0,0.0,0.0,0.0,11.304229,24.48,41.07232,6.11,0.50350344
2010-01-14 23:00:00+00:00,3.0,2.7815,-4.7185,-0.99350005,0.2448597,-7.7763534,-3.8490403,0,0,32013.955,23900.24,0.0,0.0,0.0,0.0,3.7585104,14.4,4.969664,5.04,0.44585526
2010-01-15 23:00:00+00:00,51.0,4.4315,-3.8185,-0.09558334,1.8070521,-7.418818,-3.1722634,0,0,32137.17,22114.572,0.4,0.4,0.0,2.0,6.193674,19.8,30.722317,5.84,0.5393372
2010-01-16 23:00:00+00:00,73.0,4.9815,-0.71849996,2.0377502,0.30493546,-4.0779834,-1.7490567,0,0,32263.928,14198.871,7.299999,6.1999993,0.77,16.0,22.89611,51.12,234.09245,2.7,0.38392383
2010-01-17 23:00:00+00:00,51.0,4.4815,-0.96849996,1.4898335,2.1986074,-4.183074,-1.3460795,0,0,32394.03,25201.488,0.1,0.1,0.0,1.0,6.297428,14.759999,291.80148,4.31,0.47366202
2010-01-18 23:00:00+00:00,2.0,4.3315,-2.0184999,0.36066675,1.5423565,-5.465663,-2.640634,0,0,32527.28,27290.61,0.0,0.0,0.0,0.0,6.12,15.84,8.330431,6.0,0.55322397
2010-01-19 23:00:00+00:00,73.0,2.8815,-3.4685,-0.54349995,0.35967827,-6.6175885,-3.4440868,0,0,32663.482,25027.05,1.7,0.0,1.19,4.0,5.506941,14.759999,29.969494,5.88,0.526244
2010-01-20 23:00:00+00:00,73.0,3.3815,-0.6185,1.5148336,0.19599819,-3.5469496,-1.4331931,0,0,32802.434,27801.002,3.0,0.70000005,1.61,8.0,7.5942082,20.880001,247.20102,5.19,0.4944796
2010-01-21 23:00:00+00:00,3.0,3.3815,-1.4684999,0.45650002,0.0574522,-4.9883876,-2.664688,0,0,32943.957,25238.883,0.0,0.0,0.0,0.0,8.161764,21.96,36.236015,5.76,0.5446678
2010-01-22 23:00:00+00:00,3.0,2.7315001,-3.0184999,-0.38516673,0.23927689,-6.41502,-3.379502,0,0,33087.855,26221.89,0.0,0.0,0.0,0.0,6.0347,15.4800005,30.757738,5.63,0.52581835
2010-01-23 23:00:00+00:00,3.0,4.6815,-1.1185,1.1044166,1.8396702,-4.217494,-1.6974014,0,0,33233.953,21600.0,0.0,0.0,0.0,0.0,5.154415,14.759999,287.5925,5.73,0.59560895
2010-01-24 23:00:00+00:00,71.0,3.5815,-0.1685,0.9502499,0.6186085,-3.1437938,-1.8498288,0,0,33382.062,4132.308,1.1,0.6,0.35,7.0,5.8603754,17.28,321.25403,3.39,0.41301683
2010-01-25 23:00:00+00:00,73.0,-0.06850001,-5.2185,-1.6893333,-3.1112854,-10.8151,-5.9725947,0,0,33532.273,33.953705,2.0,0.0,1.5400001,8.0,18.668005,41.039997,37.700024,2.92,0.42350444
2010-01-26 23:00:00+00:00,3.0,-2.0184999,-6.5185,-4.6185,-5.514472,-11.129102,-9.141293,0,0,33686.137,25575.902,0.0,0.0,0.0,0.0,17.610588,35.64,45.887386,6.6,0.5867466
2010-01-27 23:00:00+00:00,73.0,-0.118499994,-5.5685,-2.0580833,-4.5794773,-10.15848,-6.72562,0,0,33843.758,4954.0146,5.2999997,0.0,3.9199998,16.0,17.373497,41.399998,251.05528,2.64,0.4545932
2010-01-28 23:00:00+00:00,73.0,1.4814999,-4.6184998,-1.3393334,-2.795472,-8.907258,-5.630138,0,0,34004.88,0.0,4.6,0.5,3.0800002,15.0,14.76439,46.079998,220.21346,3.39,0.46412984
2010-01-29 23:00:00+00:00,73.0,0.68149996,-8.3185,-2.572667,-3.5412927,-12.606822,-7.012602,0,0,34169.266,28702.22,5.299999,0.39999998,3.6399999,14.0,15.175612,41.399998,259.2375,6.9,0.53767914
2010-01-30 23:00:00+00:00,71.0,-2.4685,-8.8185,-5.987251,-7.188733,-13.149977,-10.4234705,0,0,34336.668,18277.191,0.90000004,0.0,0.84,7.0,13.570615,33.12,245.75331,5.36,0.4741054
2010-01-31 23:00:00+00:00,73.0,-1.4185,-9.2685,-5.1247506,-7.041475,-13.227878,-9.9642515,0,0,34506.855,20880.873,1.8000001,0.0,1.2600001,6.0,21.980644,45.0,241.91893,6.76,0.61039054
2010-02-01 23:00:00+00:00,71.0,1.4315,-4.1184998,-1.2664165,-3.657784,-8.43644,-6.096661,0,0,34679.605,18471.566,0.0,0.0,0.48999998,0.0,18.440998,46.44,227.73083,6.37,0.8960653
2010-02-02 23:00:00+00:00,73.0,5.0315,-1.0185001,2.7731667,0.041348934,-4.421685,-1.9247843,0,0,34854.684,4057.222,5.4,2.2,2.24,14.0,21.9718,51.839996,236.04451,3.03,0.85517436
2010-02-03 23:00:00+00:00,3.0,5.9315,-3.1185,0.9648333,3.4305935,-5.9732656,-1.8246695,0,0,35031.87,30628.008,0.0,0.0,0.0,0.0,6.193674,16.56,51.9003,7.91,0.8157112
2010-02-04 23:00:00+00:00,73.0,3.4815001,0.8315,1.7065,1.1502128,-2.0622945,-1.1304055,0,0,35210.96,0.0,12.000001,9.200001,1.96,14.0,11.435313,28.08,227.24174,2.25,0.33131295
2010-02-05 23:00:00+00:00,73.0,3.9815001,-0.31849998,1.8898335,1.1202106,-3.173463,-0.99895835,0,0,35391.742,24188.695,1.5,0.90000004,0.42000002,3.0,10.00256,28.08,52.59452,7.18,0.71053433
2010-02-06 23:00:00+00:00,71.0,2.8315,-3.2684999,0.6419167,-0.94500065,-7.399046,-2.7024717,0,0,35574.004,8562.519,0.70000005,0.2,0.35,5.0,11.923557,25.56,30.21124,3.94,0.44935566
2010-02-07 23:00:00+00:00,3.0,1.4814999,-4.7685,-2.1893332,-2.0875683,-9.286327,-6.143516,0,0,35757.555,29621.143,0.0,0.0,0.0,0.0,11.212135,27.0,48.042583,7.28,0.6342091
2010-02-08 23:00:00+00:00,71.0,3.4815001,-2.3185,0.035666596,0.23295498,-5.9388323,-3.2923224,0,0,35942.195,30725.418,0.0,0.0,0.14,0.0,7.491114,22.319998,41.096363,8.42,0.83201903
2010-02-09 23:00:00+00:00,73.0,-0.71849996,-6.6685,-3.2976665,-3.7885823,-11.817284,-7.5856194,0,0,36127.742,5670.244,3.8,0.0,3.2199998,14.0,12.413477,28.44,14.239992,4.53,0.5168308
2010-02-10 23:00:00+00:00,73.0,-4.5685,-7.4685,-6.216416,-9.397721,-12.624483,-11.209842,0,0,36314.004,0.0,3.5000005,0.0,2.5900004,22.0,14.565548,30.960001,39.591343,4.91,0.5368388
2010-02-11 23:00:00+00:00,71.0,-3.2684999,-7.1685,-5.3435,-7.372057,-11.731372,-9.571918,0,0,36500.793,11644.6875,0.2,0.0,0.7,2.0,9.726664,22.68,37.161438,6.39,0.5441404
2010-02-12 23:00:00+00:00,3.0,-2.1685,-8.2185,-5.303916,-6.513043,-12.430416,-9.478946,0,0,36687.94,31487.547,0.0,0.0,0.0,0.0,10.805998,27.359999,56.783447,8.63,0.65196234
2010-02-13 23:00:00+00:00,3.0,-0.6685,-6.4185,-3.6393335,-4.173932,-10.099572,-7.237705,0,0,36875.273,30267.846,0.0,0.0,0.0,0.0,5.815978,14.04,46.657585,7.78,0.6740291
2010-02-14 23:00:00+00:00,2.0,0.4315,-5.7185,-3.24975,-2.5130095,-9.624318,-6.9069996,0,0,37062.87,32888.348,0.0,0.0,0.0,0.0,7.754637,13.679999,59.250103,10.45,0.90060925
2010-02-15 23:00:00+00:00,3.0,2.8315,-6.9685,-2.7289164,-0.42082477,-10.703057,-6.413349,0,0,37252.418,33219.277,0.0,0.0,0.0,0.0,8.161764,20.16,44.32286,11.38,1.0559103
